,지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,일련번호,거래유형,중개사소재지,해제사유발생일,해제여부
0,41135,수내로,분당동,39,샛별마을(삼부),1992,20,128.09,2022,10,7,140000,00201,00000,41135,01,0,3180039,0039,0000,41135,10100,1,41135-20,중개거래,경기 성남분당구,,
1,41135,백현로,수내동,75,푸른마을(쌍용),1992,3,163.83,2022,10,28,145000,00227,00000,41135,01,0,3180022,0075,0000,41135,10200,1,41135-80,중개거래,경기 성남분당구,,
2,41135,정자로,정자동,124,상록마을(라이프1차),1994,20,128.7,2022,10,1,169000,00056,00000,41135,01,0,3180058,0124,0000,41135,10300,1,41135-58,중개거래,경기 성남분당구,,
3,41135,백현로,정자동,102,한솔마을(4단지)(주공),1994,6,35.28,2022,10,1,55000,00206,00000,41135,02,0,3180022,0102,0000,41135,10300,1,41135-67,중개거래,경기 성남분당구,,
4,41135,정자일로,정자동,13-1,동양정자파라곤(3단지),2004,8,146.37,2022,10,7,165000,00230,00000,41135,01,0,3180021,0013,0001,41135,10300,1,41135-270,중개거래,경기 성남분당구,,
5,41135,백현로,정자동,102,한솔마을(4단지)(주공),1994,10,35.28,2022,10,26,55000,00206,00000,41135,02,0,3180022,0102,0000,41135,10300,1,41135-67,중개거래,경기 성남분당구,,
6,41135,정자일로,정자동,6,파크뷰,2004,32,244.549,2022,10,26,520000,00248,00000,41135,01,0,3180021,0006,0000,41135,10300,1,41135-250,직거래,,23.03.30,O
7,41135,정자일로,정자동,6,파크뷰,2004,32,244.549,2022,10,26,520000,00248,00000,41135,01,0,3180021,0006,0000,41135,10300,1,41135-250,직거래,,,
8,41135,정자로,정자동,112,한솔마을(5단지)(주공),1994,2,42.75,2022,10,26,57000,00115,00000,41135,01,0,3180058,0112,0000,41135,10300,1,41135-223,중개거래,경기 성남분당구,,
9,41135,내정로,정자동,121,상록마을(우성)1,1994,13,57.27,2022,10,28,98000,00055,00000,41135,02,0,3180003,0121,0000,41135,10300,1,41135-60,중개거래,경기 성남분당구,,
10,41135,중앙공원로,서현동,91,시범한양,1991,4,28.71,2022,10,17,56000,00017,00000,41135,01,0,3180049,0091,0000,41135,10500,1,41135-103,중개거래,경기 성남분당구,,
11,41135,이매로,이매동,143,아름마을(효성),1994,6,101.76,2022,10,18,130000,00016,00000,41135,01,0,3180047,0143,0000,41135,10600,1,41135-88,중개거래,경기 성남분당구,,
12,41135,양현로,이매동,100,이매촌(삼성),1994,8,101.91,2022,10,22,110000,00192,00000,41135,02,0,3180042,0100,0000,41135,10600,1,41135-92,중개거래,경기 성남분당구,,
13,41135,판교로,야탑동,535,탑마을(대우),1992,14,134.31,2022,10,2,145000,00421,00000,41135,02,0,3180051,0535,0000,41135,10700,1,41135-143,중개거래,"경기 성남분당구, 서울 서초구",,
14,41135,장미로,야탑동,211,매화마을(주공4),1993,9,41.85,2022,10,24,49000,00193,00000,41135,01,0,3180048,0211,0000,41135,10700,1,41135-249,중개거래,"경기 성남분당구, 서울 동작구",,
15,41135,판교원로,판교동,634,판교원마을5단지(푸르지오),2009,1,116.04,2022,10,1,175000,00207,00000,41135,01,0,3180052,0634,0000,41135,10800,1,41135-462,중개거래,경기 성남분당구,,
16,41135,서판교로,판교동,494,판교원마을12단지(힐스테이트),2009,10,118.6,2022,10,17,135000,00165,00000,41135,01,0,3180044,0494,0000,41135,10800,1,41135-447,중개거래,경기 성남분당구,,
17,41135,판교원로,판교동,637,판교원마을7단지(모아미래도),2009,1,81.412,2022,10,31,120000,00237,00000,41135,01,0,3180052,0637,0000,41135,10800,1,41135-439,직거래,,,
18,41135,동판교로,삼평동,705,봇들마을1단지(판교신미주),2009,3,82.794,2022,10,20,137000,00275,00000,41135,01,0,3178016,0705,0000,41135,10900,1,41135-440,중개거래,경기 성남분당구,,
19,41135,동판교로,삼평동,742,봇들마을8단지(주공),2009,4,84.5,2022,10,29,150000,00153,00000,41135,01,0,3178016,0742,0000,41135,10900,1,41135-468,중개거래,경기 성남분당구,,
20,41135,대왕판교로606번길,백현동,531,판교알파리움1단지,2015,2,123.339,2022,10,6,245000,00010,00000,41135,00,,4340053,0531,0000,41135,11000,1,41135-529,중개거래,"경기 성남분당구, 서울 송파구",,
21,41135,미금로,금곡동,133,청솔마을(주공9단지),1995,7,36.54,2022,10,20,55500,00216,00000,41135,01,0,3180016,0133,0000,41135,11100,1,41135-158,중개거래,경기 성남분당구,,
22,41135,미금로,구미동,77,까치마을(1단지)(대우롯데선경),1995,13,84.79,2022,10,14,118000,00184,00000,41135,02,0,3180016,0077,0000,41135,11400,1,41135-232,중개거래,경기 성남분당구,,
23,41135,무지개로,구미동,221,무지개(5단지)(청구),1995,6,85.0,2022,10,15,79500,00144,00000,41135,01,0,3180014,0221,0000,41135,11400,1,41135-188,중개거래,경기 성남분당구,,
24,41135,무지개로,구미동,221,무지개(5단지)(청구),1995,3,58.49,2022,10,15,65000,00144,00000,41135,01,0,3180014,0221,0000,41135,11400,1,41135-188,중개거래,경기 성남분당구,,
25,41135,미금로22번길,구미동,212,무지개(12단지)(주공뜨란체),1995,2,58.14,2022,10,28,60000,00010,00000,41135,01,0,4340093,0212,0000,41135,11400,1,41135-187,직거래,,,
26,41135,판교원로82번길,운중동,918,산운마을13단지(태영),2010,27,101.67,2022,10,6,125000,00030,00000,41135,01,0,4340480,0918,0000,41135,11500,1,41135-477,직거래,,,
27,41135,판교원로82번길,운중동,918,산운마을13단지(태영),2010,21,84.82,2022,10,8,124000,00030,00000,41135,01,0,4340480,0918,0000,41135,11500,1,41135-477,중개거래,경기 성남분당구,23.01.28,O
28,41135,판교원로82번길,운중동,918,산운마을13단지(태영),2010,16,101.65,2022,10,14,121000,00030,00000,41135,01,0,4340480,0918,0000,41135,11500,1,41135-477,중개거래,경기 성남분당구,,
29,41135,판교원로82번길,운중동,918,산운마을13단지(태영),2010,4,84.82,2022,10,18,107000,00030,00000,41135,01,0,4340480,0918,0000,41135,11500,1,41135-477,중개거래,경기 성남분당구,,
30,41135,판교원로82번길,운중동,918,산운마을13단지(태영),2010,4,84.82,2022,10,18,107000,00030,00000,41135,01,0,4340480,0918,0000,41135,11500,1,41135-477,중개거래,경기 성남분당구,,
